trial_counter,kappa_mean,kappa_std,alpha,booster,eta,lambda,lambda_bias,max_evals,nthread,num_round,objective,seed,silent,task
25,0.680903,0.004893,0.075,gblinear,0.62,3.1,2.2,200,2,440,reg:linear,2015,1,regression
26,0.680973,0.005220,0.08,gblinear,0.62,4.05,1.2,200,2,350,reg:linear,2015,1,regression
27,0.680599,0.005198,0.07,gblinear,0.43,5.0,0.7,200,2,450,reg:linear,2015,1,regression
28,0.674481,0.003713,0.035,gblinear,0.02,2.85,1.4,200,2,470,reg:linear,2015,1,regression
29,0.681103,0.005695,0.095,gblinear,0.93,4.95,1.1,200,2,390,reg:linear,2015,1,regression
30,0.680206,0.005796,0.165,gblinear,0.73,4.1,0.2,200,2,340,reg:linear,2015,1,regression
31,0.680976,0.004872,0.105,gblinear,0.63,3.65,0.8,200,2,420,reg:linear,2015,1,regression
32,0.681309,0.005221,0.04,gblinear,0.88,4.3,1.6,200,2,480,reg:linear,2015,1,regression
33,0.680190,0.005039,0.125,gblinear,0.47,2.9,1.3,200,2,430,reg:linear,2015,1,regression
34,0.679397,0.005605,0.23,gblinear,0.59,3.4,2.1,200,2,260,reg:linear,2015,1,regression
35,0.680555,0.005190,0.01,gblinear,0.49,4.75,0.5,200,2,210,reg:linear,2015,1,regression
36,0.679955,0.005698,0.17,gblinear,0.78,4.3,0.9,200,2,120,reg:linear,2015,1,regression
37,0.680813,0.005290,0.055,gblinear,0.73,3.9,1.9,200,2,320,reg:linear,2015,1,regression
38,0.680054,0.005196,0.12,gblinear,0.86,2.85,0.2,200,2,420,reg:linear,2015,1,regression
39,0.680493,0.005204,0.015,gblinear,0.38,4.45,2.3,200,2,370,reg:linear,2015,1,regression
40,0.679298,0.006158,0.24,gblinear,0.56,3.6,1.2,200,2,280,reg:linear,2015,1,regression
41,0.672290,0.005280,0.32,gblinear,0.67,2.15,0.6,200,2,30,reg:linear,2015,1,regression
42,0.680254,0.005626,0.195,gblinear,0.98,2.6,1.4,200,2,490,reg:linear,2015,1,regression
43,0.679912,0.006190,0.145,gblinear,0.8,4.8,0.2,200,2,410,reg:linear,2015,1,regression
44,0.677752,0.006329,0.5,gblinear,0.68,1.7,2.0,200,2,320,reg:linear,2015,1,regression
45,0.679968,0.005369,0.06,gblinear,0.47,3.05,1.6,200,2,210,reg:linear,2015,1,regression
46,0.679632,0.005202,0.105,gblinear,0.34,3.85,1.0,200,2,110,reg:linear,2015,1,regression
47,0.680842,0.005764,0.175,gblinear,0.2,3.5,1.3,200,2,460,reg:linear,2015,1,regression
48,0.679554,0.005595,0.285,gblinear,0.94,1.95,2.6,200,2,390,reg:linear,2015,1,regression
49,0.677968,0.005392,0.225,gblinear,0.58,1.45,0.9,200,2,290,reg:linear,2015,1,regression
50,0.677239,0.006577,0.375,gblinear,0.85,4.55,0.3,200,2,370,reg:linear,2015,1,regression
51,0.677779,0.006527,0.445,gblinear,0.74,2.35,1.5,200,2,240,reg:linear,2015,1,regression
52,0.677047,0.004790,0.02,gblinear,0.1,3.25,1.7,200,2,330,reg:linear,2015,1,regression
53,0.678425,0.006651,0.325,gblinear,0.28,4.0,2.4,200,2,480,reg:linear,2015,1,regression
